FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022",CHANGE IN EMISSIONS (2021 TO 2022),CHANGE IN EMISSIONS (2011 TO 2022),SECTORS
3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO (100%),C,"76,373","72,407","80,335","81,855","79,440","79,174","76,595","104,996","106,258","82,308","82,788","87,926","5,139","11,553",Other
3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),"C,L,N,OO","73,653","56,199","64,664","66,307","45,416","37,814","31,525","62,459","55,977","48,362","63,760","24,092","-39,669","-49,562","Chemicals, Minerals"
3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),C,"39,973","36,169","37,107","39,454","36,317","31,373","37,907","38,918","39,938","39,808","36,926","37,329",403,"-2,644","Pulp and Paper, Other"
ADM - MANKATO,1002154,2019 3RD AVENUE,44.186805,-93.995493,MANKATO,BLUE EARTH COUNTY,MN,56001,ARCHER DANIELS MIDLAND CO (100%),C,"129,095","96,362","137,338","138,201","143,286","138,908","129,893","129,575","90,585","139,900","128,884","106,717","-22,166","-22,378",Other
ADVANCED DISPOSAL ROLLING HILLS LANDFILL INC,1001843,175 COUNTY ROAD 37 NE,45.2494,-93.87594,BUFFALO,WRIGHT COUNTY,MN,55313,GFL ENVIRONMENTAL USA INC (100%),,"14,213","10,355","8,371",---,---,---,---,---,---,---,---,---,---,---,Waste
AG PROCESSING INCORPORATED A COOPERATIVE,1002291,800 DIAGONAL STREET,44.93265,-96.056491,DAWSON,LAC QUI PARLE COUNTY,MN,56232,AG PROCESSING INC A COOPERATIVE (100%),C,"23,534","22,220","24,992","32,786","32,545","33,267","34,377","36,195","42,326","38,906","36,929","39,251","2,321","15,717",Other
AGRI ENERGY LLC,1005284,502 SOUTH WALNUT AVENUE,43.648333,-96.224444,LUVERNE,ROCK COUNTY,MN,56156,GEVO INC (100%),"C,II","39,011","20,053","8,321","29,169",327,"35,119","39,921","37,588","27,128","5,563","2,212","2,275",63,"-36,736","Chemicals, Waste"
AL CORN CLEAN FUEL,1005149,797 5th Street,44.049412,-93.017379,CLAREMONT,DODGE COUNTY,MN,55924,AL-CORN CLEAN FUEL (100%),C,"76,105","74,912","78,377","75,060","71,172","78,167","77,046","139,473","165,458","162,045","187,877","203,160","15,283","127,056","Other, Waste"
ALLIANCE PIPELINE - OLIVIA 23-A,1005705,38884 870TH AVE,44.8491,-94.8969,BIRD ISLAND,RENVILLE COUNTY,MN,55310,Enbridge (US) Inc (100%),"C,W","91,156","84,722","85,767","93,088","89,871","90,468","95,617","90,212","101,106","65,609","83,213","92,902","9,689","1,746",Petroleum and Natural Gas Systems
AMERICAN CRYSTAL SUGAR - CROOKSTON,1006354,1201 Hwy 75 South,47.764625,-96.629975,CROOKSTON,POLK COUNTY,MN,56716,AMERICAN CRYSTAL SUGAR CO (100%),"C,S,TT","298,459","305,109","308,712","314,075","320,408","331,990","355,412","367,653","326,691","260,092","292,277","303,364","11,087","4,906","Minerals, Waste"
AMERICAN CRYSTAL SUGAR - E GRAND FORKS,1005751,1020 Business Hwy 2,47.925833,-97.006111,EAST GRAND FORKS,POLK COUNTY,MN,56721,AMERICAN CRYSTAL SUGAR CO (100%),"C,S,TT","528,064","593,083","678,261","635,741","336,140","332,895","390,925","371,487","415,704","314,640","385,350","358,089","-27,261","-169,974","Minerals, Waste"
AMERICAN CRYSTAL SUGAR - MOORHEAD,1006877,2500 NORTH 11TH STREET,46.903056,-96.759722,MOORHEAD,CLAY COUNTY,MN,56560,AMERICAN CRYSTAL SUGAR CO (100%),"C,S,TT","312,941","321,416","324,341","338,732","318,469","337,651","351,661","364,566","324,868","277,534","288,161","312,400","24,240",-540,"Minerals, Waste"
ARCHER DANIELS MIDLAND,1001945,400 WEST ERIE ROAD,44.474074,-95.783525,MARSHALL,LYON COUNTY,MN,56258,ARCHER DANIELS MIDLAND CO (100%),"C,II,PP","203,120","179,604","166,062","164,526","171,891","176,266","185,159","171,572","179,689","172,750","173,697","170,379","-3,318","-32,741","Other, Waste"
AUSTIN UTILITIES NORTHEAST POWER STATION,1005945,3511 11TH ST. N.E.,43.7014,-92.9626,AUSTIN,Mower,MN,55912,City of Austin Minnesota (100%);,,"19,973","7,978","2,179",166,---,---,---,---,---,---,---,---,---,---,Power Plants
Agra Resources LLC dba POET BIOREFINING - GLENVILLE,1000857,15300 780TH AVE,43.576274,-93.301773,ALBERT LEA,FREEBORN COUNTY,MN,56007,POET LLC (100%),"C,PP","50,921",---,---,---,---,---,---,---,---,---,---,---,---,---,Other
Allen S King,1000691,1103 KING PLANT RD,45.03,-92.7786,OAK PARK HEIGHTS,Washington,MN,55003,XCEL ENERGY INC (100%),"C,D","3,322,884","3,257,176","2,487,491","2,942,841","3,016,435","2,769,177","2,954,464","2,705,407","1,821,782","856,199","1,410,074","1,266,378","-143,696","-2,056,506",Power Plants
Alliance Pipeline L.P. Albert Lea 25-A,1006841,85485 200th Street,43.64461,-93.15942,Albert Lea,FREEBORN COUNTY,MN,56007,Enbridge (US) Inc (100%),"C,W","81,668","89,266","85,687","91,019","87,456","84,911","93,866","92,329","95,786","42,970","82,559","92,774","10,215","11,106",Petroleum and Natural Gas Systems
Anchor Glass Container Corporation. - Plant 12,1004942,4108 VALLEY INDUSTRIAL BLVD N,44.79875,-93.46714,SHAKOPEE,SCOTT COUNTY,MN,55379,ANCHOR GLASS CONTAINER CORP (100%),"C,N","82,777","93,341","78,295","79,063","79,950","79,591","74,034","77,687","80,395","82,563","80,913","79,532","-1,381","-3,245",Minerals
Anoka Municipal Regional Landfill,1011466,14730 NW Sunfish Blvd,45.23715,-93.42943,Ramsey,ANOKA COUNTY,MN,55303,STATE OF MINNESOTA (100%),HH,"36,217","35,736","29,671","35,096","35,980","34,330","33,349","32,995","32,475","32,051","31,173","30,024","-1,149","-6,193",Waste
ArcelorMittal Minorca Mine,1003669,5950 Old Highway 53,47.5607,-92.520349,Virginia,ST. LOUIS COUNTY,MN,55792,CLEVELAND-CLIFFS INC (100%),"C,Q","332,779","238,378","239,085",---,---,---,---,---,---,---,---,---,---,---,Metals
BLANDIN PAPER COMPANY,1006102,115 SOUTHWEST 1ST STREET,47.231267,-93.572742,GRAND RAPIDS,ITASCA,MN,55744,UPM NORTH AMERICA (100%),,"21,254","19,982","19,082","18,763","19,709",---,---,---,---,---,---,---,---,---,Pulp and Paper
BOISE WHITE PAPER LLC,1007994,400 2ND STREET,48.606,-93.4071,INTERNATIONAL FALLS,KOOCHICHING COUNTY,MN,56649,PACKAGING CORP OF AMERICA (100%),"AA,C,PP","190,688","195,989","187,547","137,932","150,743","168,043","179,059","164,949","164,001","154,518","156,405","155,242","-1,163","-35,446",Pulp and Paper
BURNSVILLE SANITARY LANDFILL,1007743,2650 CLIFF RD W,44.785343,-93.318085,BURNSVILLE,DAKOTA COUNTY,MN,55337,WASTE MANAGEMENT INC (100%),"C,HH","57,051","50,697","51,763","62,510","67,551","55,709","68,659","57,136","75,385","55,751","46,740","56,519","9,779",-532,Waste
BUSCH AGRICULTURAL RESOURCES - MOORHEAD,1003086,2101 28TH STREET SOUTH,46.905064,-96.749802,MOORHEAD,CLAY,MN,56560,ANHEUSER-BUSCH INBEV (100%),,"22,178","21,747","24,967","23,184","24,407",---,---,---,---,---,---,---,---,---,Other
BUSHMILLS ETHANOL INC.,1003837,17025 HIGHWAY 12 NE,45.137845,-94.807119,ATWATER,KANDIYOHI COUNTY,MN,56209,BUSHMILLS ETHANOL INC (100%),C,"79,260","76,499","79,885","84,313","82,292","82,835","76,156","75,093","108,716","106,973","111,352","109,163","-2,190","29,903","Other, Waste"
Benson Power Biomass Plant,1000285,900 Industry Dr,45.2996,-95.5604,Benson,Swift,MN,56215,ContourGlobal (100%);,,"23,592","20,948","16,960","18,833",---,---,---,---,---,---,---,---,---,---,Power Plants
Black Dog,1000689,1400 BLACK DOG ROAD,44.8108,-93.2501,BURNSVILLE,Dakota,MN,55337,XCEL ENERGY INC (100%),"C,D","1,545,780","1,440,256","1,522,773","1,750,230","772,699","483,164","293,624","440,183","801,691","719,080","840,229","362,265","-477,964","-1,183,515",Power Plants
Blue Lake Generating Plant,1000424,1200 70TH ST,44.7855,-93.4315,SHAKOPEE,Scott,MN,55379,XCEL ENERGY INC (100%),"C,D","61,347","155,281","70,492","26,173","48,363","128,137","55,001","70,723","43,321","100,145","101,580","63,794","-37,786","2,447",Power Plants
Boswell Energy Center,1000687,1200 NW 3RD ST,47.2603,-93.6531,COHASSET,Itasca,MN,55721,ALLETE INC (90%); WPPI ENERGY (10%),"C,D","7,564,001","7,783,785","8,274,307","7,835,787","7,322,778","8,042,537","7,768,990","7,818,404","5,083,670","4,593,131","5,325,017","5,374,492","49,474","-2,189,509",Power Plants
"Buffalo Lake Advanced Biofuels, LLC",1011915,777 Borden Avenue West,44.735829,-94.626708,Buffalo Lake,RENVILLE COUNTY,MN,55314,"West Ventures, LLC (100%)",,---,---,---,---,"8,046",---,---,---,---,---,---,---,---,---,Other
CENTRAL BI-PRODUCTS - LONG PRAIRIE,1006809,25498 US HIGHWAY 71,45.997706,-94.8606,LONG PRAIRIE,TODD COUNTY,MN,56347,FARMERS UNION INDUSTRIES LLC (100%),"C,II","29,526","27,336","45,346","32,860","22,357","30,029","32,149","34,634","41,383","33,584","38,271","39,845","1,575","10,320","Other, Waste"
CENTRAL BI-PRODUCTS - REDWOOD FALLS,1003901,33361 COUNTY ROAD 25,44.57046,-95.11507,REDWOOD FALLS,REDWOOD COUNTY,MN,56283,FARMERS UNION INDUSTRIES LLC (100%),"C,II","35,194","23,470","20,932","23,260","21,617","26,349","29,716","32,883","26,304","29,515","30,391","31,390",998,"-3,804","Other, Waste"
CHIPPEWA VALLEY ETHANOL COMPANY,1001143,270 20TH STREET NORTHWEST,45.327,-95.6377,BENSON,SWIFT COUNTY,MN,56215,CHIPPEWA VALLEY AGRAFUELS COOPERATIVE (100%),C,"74,806","70,679","72,236","97,869","74,415","76,768","75,472","76,158","76,098","68,670","72,327","75,238","2,911",433,Other
CHS MANKATO,1004656,2020 SOUTH RIVERFRONT DRIVE,44.1569,-94.0316,MANKATO,BLUE EARTH COUNTY,MN,56001,CHS INC (100%),C,"89,345","86,220","74,471","89,766","91,074","87,729","84,439","83,897","82,673","77,844","80,291","90,807","10,515","1,461",Other
CHS OILSEED PROCESSING - FAIRMONT,1004657,1833 130TH ST,43.67372,-94.50643,FAIRMONT,MARTIN COUNTY,MN,56031,CHS INC (100%),C,"45,747","41,748","45,727","48,439","52,187","55,223","52,851","58,727","58,882","56,060","50,417","77,024","26,607","31,277",Other
CONSOLIDATE PRECISION PRODUCTS - MINNEAPOLIS OPERATION,1002358,8701 HARRIET AVE. S.,44.84614,-93.28603,BLOOMINGTON,HENNEPIN COUNTY,MN,55420,WARBURG PINCUS LLC (100%),"C,T","152,283","20,937","22,170","31,748","20,736","16,079","19,374","23,342","38,630","20,601","25,236","36,043","10,807","-116,240",Metals
CORN PLUS,1002950,711 6TH AVE. S.E.,43.760415,-94.149858,WINNEBAGO,FARIBAULT COUNTY,MN,56098,GREENFIELD GLOBAL WINNEBAGO LLC (100%),"C,PP","47,515","62,342","63,919","72,120",---,---,---,---,---,---,---,---,---,---,Other
Cambridge Station,1000468,HIGHWAY 65,45.601,-93.2081,CAMBRIDGE,Isanti,MN,55008,GREAT RIVER ENERGY (100%),"C,D","33,206","54,527","51,912","20,297","20,015","26,823","14,533","37,309","28,722","13,577","62,128","20,687","-41,441","-12,519",Power Plants
Cannon Falls Energy Center,1000488,525 N PARK DR,44.5364,-92.9147,CANNON FALLS,Goodhue,MN,55009,INVENERGY LLC (51%); MARUBENI AMERICA CORP (49%),"C,D","60,051","72,995","74,661","17,047","37,545","104,249","29,113","71,998","65,452","140,258","238,382","109,434","-128,948","49,383",Power Plants
Cascade Creek,1001017,1814 SEVENTH ST NW,44.0322,-92.4908,ROCHESTER,Olmsted,MN,55901,ROCHESTER PUBLIC UTILITIES (100%),,"2,767","11,267","4,988","5,584","20,389","23,010",---,---,---,---,---,---,---,---,Power Plants
CenterPoint Energy Minnesota Gas,1004086,"800 LaSalle Ave, Floor 14, PO Box 59038",44.97619,-93.27482,Minneapolis,HENNEPIN COUNTY,MN,55459,CENTERPOINT ENERGY INC (100%),"NN,W","96,760","93,553","89,186","85,446","81,369","78,053","75,336","72,969","71,783","69,272","67,815","68,221",405,"-28,539",Petroleum and Natural Gas Systems
Central MN Renewables,1003924,17936 HERON ROAD,46.022222,-94.338333,LITTLE FALLS,MORRISON COUNTY,MN,56345,NUMAKE-2 LLC (100%),,"37,195","29,513","37,802",---,---,---,---,---,---,---,---,---,---,---,Other
Cleveland-Cliffs Minorca Mine,1003669,5950 Old Highway 53,47.5607,-92.520349,Virginia,ST. LOUIS COUNTY,MN,55792,CLEVELAND-CLIFFS INC (100%),"C,Q",---,---,---,"227,172","240,384","242,531","216,411","226,957","235,305","238,763","226,326","162,986","-63,341",---,Metals
Cottage Grove Cogeneration,1001291,9525 105TH ST COURT S,44.7956,-92.9119,COTTAGE GROVE,Washington,MN,55016,PANCENTAL CGC HOLDINGS LLC (99%); LSP-COTTAGE GROVE LLC (1%),"C,D","123,639","253,593","164,649","106,507","143,433","200,930","152,572","172,901","256,296","320,447","373,488","295,482","-78,005","171,844",Power Plants
Crow Wing County MMSW Landfill,1004863,15728 State Highway 210,46.430797,-94.068195,Brainerd,CROW WING COUNTY,MN,56401,CROW WING COUNTY MINNESOTA (100%),"C,HH","16,320","23,466","17,026","24,159","26,234","30,956","33,172","38,021","85,370","36,527","39,682","7,736","-31,945","-8,584",Waste
"DENCO II, LLC",1002177,227 COUNTY ROAD 22 S,45.57516,-95.912386,MORRIS,STEVENS COUNTY,MN,56267,DENCO II LLC (100%),"C,II","45,749","35,637","40,594","43,297","41,791","36,936","39,674","42,917","39,603","34,442","43,073","39,794","-3,279","-5,955","Other, Waste"
DISTRICT ENERGY ST PAUL INC-HANS O NYMAN,1006101,76 KELLOGG BOULEVARD WEST,44.94333,-93.096815,SAINT PAUL,RAMSEY COUNTY,MN,55102,DISTRICT ENERGY ST PAUL INC (100%),C,"74,724","37,708","54,323","63,519","44,878","34,489","48,329","44,072","49,152","32,416","39,248","43,102","3,854","-31,622",Power Plants
Duluth Steam One,1006024,1 LAKE PLACE DR,46.7854,-92.09639,DULUTH,ST. LOUIS COUNTY,MN,55802,CITY OF DULUTH MINNESOTA (100%),C,"67,768","60,443","58,959","59,540","53,268","54,297","52,254","49,203","48,807","40,056","38,362","42,833","4,471","-24,935",Power Plants
EAST CENTRAL SOLID WASTE COMMISSION,1005860,1756 180th Avenue,45.849,-93.352,MORA,KANABEC COUNTY,MN,55051,EAST CENTRAL SOLID WASTE COMMISSION (100%),"C,HH","25,523","26,597","20,093","19,251","22,073","37,906","35,933","37,115","31,710","30,547","27,812","26,240","-1,572",717,Waste
"ELK RIVER SANITARY LANDFILL, INC.",1007672,22460 HIGHWAY 169 NW,45.377838,-93.564221,ELK RIVER,SHERBURNE COUNTY,MN,55330,WASTE MANAGEMENT INC (100%),"C,HH","135,750","149,060","91,924","67,939","61,891","41,170","44,209","39,990","42,187","40,360","43,345","28,994","-14,351","-106,757",Waste
ENERGY CENTER MINNEAPOLIS,1000591,816 4TH AVENUE SOUTH,44.973474,-93.267695,MINNEAPOLIS,HENNEPIN COUNTY,MN,55404,Cordia LLC (100%),C,---,---,"93,774","102,311","91,265","94,897","81,208","100,397","95,109","86,913","90,755","94,662","3,907",---,Power Plants
ETHANOL 2000 LLP dba Poet Biorefining-Bingham Lake,1007830,40212 510TH AVENUE,43.897083,-95.045278,BINGHAM LAKE,COTTONWOOD COUNTY,MN,56118,POET LLC (100%),"C,PP","58,525",---,---,---,---,---,---,---,---,---,---,---,---,---,Other
Elk River,1000211,17845 EAST HIGHWAY 10,45.2958,-93.5542,ELK RIVER,Sherburne,MN,55330,GREAT RIVER ENERGY (100%),"C,D","131,126","179,872","180,158","152,984","125,708","147,303","127,303","147,639","15,695","9,205","53,782","24,734","-29,048","-106,392",Power Plants
FLYING CLOUD SANITARY LANDFILL,1004308,9813 FLYING CLOUD DR,44.826193,-93.447839,EDEN PRAIRIE,HENNEPIN COUNTY,MN,55347,STATE OF MINNESOTA (100%),HH,"13,963","16,836","46,229","82,034","76,954","8,704","8,365","9,081","12,587","14,705","17,686","18,242",557,"4,279",Waste
FORD MOTOR COMPANY - TWIN CITIES ASSEMBLY PLANT,1003226,966 S. MISSISSIPPI RIVER BLVD.,44.9155,-93.19865,SAINT PAUL,RAMSEY COUNTY,MN,55116,Ford Motor Company (100%);,,"35,500","4,873",243,---,---,---,---,---,---,---,---,---,---,---,Other
"Faribault Compressor Station (Faribault, MN)",1010583,21903 Canby Avenue,44.26948,-93.32304,Faribault,RICE COUNTY,MN,55021,BERKSHIRE HATHAWAY INC (100%),"C,W",---,"28,264","34,993","27,250","23,968","22,535","12,655","34,144","29,200","41,103","28,813","31,850","3,037",---,Petroleum and Natural Gas Systems
Faribault Energy Park,1007314,4100 PARK AVE,44.3353,-93.2894,FARIBAULT,Rice,MN,55021,MINNESOTA MUNICIPAL POWER AGENCY (100%),"C,D","118,543","298,154","230,501","136,849","191,411","247,615","253,417","251,161","300,449","278,068","303,688","259,357","-44,331","140,815",Power Plants
"Farmington Compressor Station (Farmington, MN)",1010577,4685 212th Street West,44.64174,-93.16174,Farmington,DAKOTA COUNTY,MN,55024,BERKSHIRE HATHAWAY INC (100%),"C,W",---,"29,093","24,505","21,612","24,423","26,442","21,795","21,788","24,740","27,584","23,063","20,119","-2,944",---,Petroleum and Natural Gas Systems
Flint Hills Resources Pine Bend Refinery,1006985,12555 Clark Road,44.764434,-93.039484,Rosemount,DAKOTA COUNTY,MN,55068,KOCH INDUSTRIES INC (100%),"C,P,Y","3,637,545","3,682,796","3,595,204","3,508,559","3,649,715","3,733,672","3,891,495","4,012,254","3,894,138","3,974,090","4,027,121","4,211,123","184,002","573,578","Chemicals, Refineries"
Fox Lake,1000685,844 125TH ST,43.6728,-94.7074,SHERBURN,Martin,MN,56171,ALLIANT ENERGY CORP (100%);,,"21,576","15,192","6,357","3,520",---,---,---,---,---,---,---,---,---,---,Power Plants
GOPHER RESOURCE LLC,1007731,685 Yankee Doodle Road,44.83349,-93.12,EAGAN,DAKOTA COUNTY,MN,55121,GOPHER RESOURCE LLC (100%),"C,R","76,924","82,617","115,744","131,746","132,194","132,026","198,513","140,972","147,911","95,195","105,182","107,853","2,671","30,928",Metals
GRANITE FALLS ENERGY LLC,1002173,15045 HIGHWAY 23 SE,44.7999,-95.4869,GRANITE FALLS,CHIPPEWA COUNTY,MN,56241,GRANITE FALLS ENERGY LLC (100%),C,"75,725","81,939","82,881","81,544","80,522","80,342","80,984","80,443","80,250","66,365","79,275","80,237",961,"4,511","Other, Waste"
GREEN PLAINS OTTER TAIL LLC,1004731,24096 170TH AVENUE,46.3125,-96.1337,FERGUS FALLS,OTTER TAIL COUNTY,MN,56537,GREEN PLAINS INC (100%),C,"95,913","82,464","86,319","67,768","83,974","86,639","89,710","81,623","78,194","72,575","77,180","87,505","10,325","-8,408",Other
GUARDIAN ENERGY LLC,1000872,4745 380TH AVE,44.111944,-93.678611,JANESVILLE,WASECA COUNTY,MN,56048,GUARDIAN ENERGY LLC (100%),C,"167,459","167,864","177,851","166,273","180,469","182,242","187,321","186,011","178,727","158,736","184,559","185,667","1,108","18,208","Other, Waste"
Gerdau Ameristeel: St. Paul Mill,1005298,1678 RED ROCK ROAD,44.89093,-93.010843,SAINT PAUL,RAMSEY COUNTY,MN,55119,GERDAU USA INC (100%),"C,Q","63,317","66,069","56,424","64,677","52,000","51,633","54,324","47,597","50,251","22,507","2,572","2,145",-427,"-61,171",Metals
Great Lakes Gas Transmission Pipeline Cloquet CS#5,1004934,3741 Brandon Road,46.78426,-92.70118,CLOQUET,ST. LOUIS COUNTY,MN,55720,TRANSCANADA PIPELINE USA LTD (100%),"C,W","70,687","37,858","21,339","28,777","16,624","41,027","96,869","58,179","40,007","30,658","97,088","102,231","5,142","31,544",Petroleum and Natural Gas Systems
Great Lakes Gas Transmission Pipeline Deer River CS#4,1005016,31641 Great Lakes Road,47.330772,-93.848313,Deer River,ITASCA COUNTY,MN,56636,TRANSCANADA PIPELINE USA LTD (100%),"C,W","7,478","2,508","10,682",---,---,---,---,"36,630","19,390","39,066","78,384","90,151","11,767","82,673",Petroleum and Natural Gas Systems
Great Lakes Gas Transmission Pipeline Shevlin CS#3,1004777,,47.58487,-95.205016,SHEVLIN,CLEARWATER COUNTY,MN,56676,TRANSCANADA PIPELINE USA LTD (100%),"C,W","58,266","32,572","8,032","21,891","6,422","11,065","8,142","43,243","33,285","6,459","43,108","59,416","16,308","1,150",Petroleum and Natural Gas Systems
Great Lakes Gas Transmission Pipeline St Vincent CS#1,1005017,,48.990263,-97.060508,HALLOCK,Kittson,MN,56728,Great Lakes Gas Transmission Company (100%);,,"9,415","6,166","10,614",---,---,---,---,---,---,---,---,---,---,---,Petroleum and Natural Gas Systems
Great Lakes Gas Transmission Pipeline Thief River Falls CS#2,1005015,10950 260TH ST NE,48.255036,-96.239117,NEWFOLDEN,MARSHALL COUNTY,MN,56738,TRANSCANADA PIPELINE USA LTD (100%),"C,W","11,310","2,752","2,249",---,---,---,---,---,---,"32,435","37,269","43,446","6,178","32,136",Petroleum and Natural Gas Systems
Green Plains Fairmont LLC,1005526,1125 BIXBY ROAD,43.664021,-94.492559,FAIRMONT,MARTIN COUNTY,MN,56031,GREEN PLAINS INC (100%),C,"193,014","102,100",343,"173,728","157,299","146,819","152,715","112,593","130,935","101,334","161,799","171,582","9,783","-21,432",Other
Greenfield Global Winnebago LLC,1002950,711 6TH AVE. S.E.,43.760415,-94.149858,WINNEBAGO,FARIBAULT COUNTY,MN,56098,GREENFIELD GLOBAL WINNEBAGO LLC (100%),"C,PP",---,---,---,---,"67,400","67,584","67,784","68,946","41,931",---,"4,242","64,489","60,247",---,Other
HEARTLAND CORN PRODUCTS,1003907,53331 State Highway 19,44.541944,-94.341667,WINTHROP,SIBLEY COUNTY,MN,55396,HEARTLAND CORN PRODUCTS (100%),C,"163,804","160,286","154,499","163,410","160,027","150,452","163,152","172,623","171,638","174,011","192,913","201,348","8,435","37,544",Other
HENNEPIN COUNTY ENERGY CENTER,1005637,600 10TH AVENUE SOUTH,44.97206,-93.25783,MINNEAPOLIS,HENNEPIN COUNTY,MN,55415,HENNEPIN COUNTY MINNESOTA (100%),C,"28,666","27,532","28,902","30,857","26,592","29,887","30,780","35,244","33,408","31,492","32,945","32,405",-540,"3,739",Power Plants
HERON LAKE BIOENERGY LLC,1005929,91246 390TH AVENUE,43.862199,-95.300983,HERON LAKE,COTTONWOOD COUNTY,MN,56137,GRANITE FALLS ENERGY LLC (100%),C,"142,105","81,410","82,436","82,993","90,528","88,541","92,556","92,810","90,050","61,426","85,744","83,023","-2,721","-59,083","Other, Waste"
HIBBING PUBLIC UTILITIES COMMISSION,1002484,1832 6TH AVENUE EAST,47.429706,-92.935297,HIBBING,ST. LOUIS COUNTY,MN,55746,CITY OF HIBBING MINNESOTA (100%),"C,NN","163,714","155,681","183,874","204,218","211,451","154,671","153,142","126,399","60,583","36,212","20,424","55,979","35,555","-107,735",Power Plants
HIGHWATER ETHANOL LLC,1005586,24500 US HIGHWAY 14,44.23202,-95.30027,LAMBERTON,REDWOOD COUNTY,MN,56152,HIGHWATER ETHANOL LLC (100%),"C,II","72,795","70,845","74,737","75,922","78,453","77,879","80,231","77,312","75,549","73,526","78,374","81,427","3,053","8,632","Other, Waste"
HORMEL FOODS CORPORATION,1006347,500 14TH AVENUE NORTH EAST,43.67978,-92.96976,AUSTIN,MOWER COUNTY,MN,55912,HORMEL FOODS CORP (100%),C,"46,091","50,597","53,930","54,946","54,102","53,933","50,996","50,575","61,277","58,895","65,121","60,619","-4,501","14,529",Other
Hennepin Energy Recovery Center,1004795,505 6th Avenue North,44.98351,-93.28037,Minneapolis,HENNEPIN COUNTY,MN,55405,HENNEPIN COUNTY MINNESOTA (100%),C,"148,215","127,038","121,312","148,477","143,225","160,937","168,778","150,290","151,541","149,790","162,739","169,122","6,383","20,907",Waste
Hibbard Energy Center,1000688,4913 MAIN ST,46.7356,-92.1531,DULUTH,St. Louis,MN,55807,ALLETE INC (100%),D,"89,101","74,581","97,507","72,300","23,825","34,991","33,344","21,656","29,255","16,113","29,105","28,755",-350,"-60,346",Power Plants
Hibbing Taconite Company,1005116,4950 County Highway 5 North,47.478,-92.9676,Hibbing,ST. LOUIS COUNTY,MN,55746,CLEVELAND-CLIFFS INC (100%),"C,Q","242,024","285,282","264,112","245,939","245,885","254,933","251,892","274,765","269,638","241,217","288,615","272,660","-15,955","30,636",Metals
