FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022",CHANGE IN EMISSIONS (2021 TO 2022),CHANGE IN EMISSIONS (2011 TO 2022),SECTORS
High Bridge,1000690,155 Randolph Road,44.9331,-93.1075,SAINT PAUL,Ramsey,MN,55102,XCEL ENERGY INC (100%),"C,D","324,023","731,162","740,356","417,496","777,393","845,272","789,752","930,917","1,400,443","1,096,410","1,272,886","756,436","-516,450","432,413",Power Plants
Honeywell Aerospace - Plymouth,1010241,12001 Highway 55,44.99442,-93.43654,Plymouth,HENNEPIN COUNTY,MN,55441,HONEYWELL INTERNATIONAL INC (100%),"C,I","59,478","46,004","53,814","50,314","39,695","35,110","30,790","45,703","41,207","33,957","34,051","41,218","7,166","-18,261",Other
Hoot Lake,1000694,1012 WATER PLANT ROAD,46.29,-96.0428,FERGUS FALLS,Otter Tail,MN,56537,OTTER TAIL CORP (100%),,"962,991","792,165","964,454","662,830","340,742","251,033","298,441","619,662","364,976","239,930","147,983",---,---,---,Power Plants
Hutchinson - Plant 2,1001053,1100 INDUSTRIAL BLVD,44.8889,-94.35,HUTCHINSON,McLeod,MN,55350,City of Hutchinson (100%);,,"6,593","13,807","11,464","8,525",---,---,---,---,---,---,---,---,---,---,Power Plants
Hutchinson Technology Inc.,1010902,40 West Highland Park Drive NE,44.8925955,-94.3692725,Hutchinson,MCLEOD COUNTY,MN,55350,Hutchinson Technology Inc. (100%);,,"6,395","4,230","4,750","5,480",---,---,---,---,---,---,---,---,---,---,Other
Inver Hills Generating Plant,1003409,3185 117th Street,44.781,-93.042,Inver Grove Heights,DAKOTA COUNTY,MN,55075,XCEL ENERGY INC (100%),C,"25,572","35,552","19,018","5,748","7,558","16,407","6,483","15,700","7,220","15,670","69,388","18,446","-50,941","-7,126",Power Plants
Key City/Wilmarth Plant,1003410,800 Summit Avenue,44.196163,-94.003383,Mankato,BLUE EARTH COUNTY,MN,56001,XCEL ENERGY INC (100%),C,"78,968","78,846","83,041","80,994","95,195","84,073","58,024","70,768","78,886","98,517","75,604","69,577","-6,027","-9,391",Power Plants
LAMB WESTON RDO FROZEN,1000610,3704 PARK AVENUE SOUTH,46.8841,-95.0601,PARK RAPIDS,HUBBARD COUNTY,MN,56470,LAMB-WESTON/RDO FROZEN FOODS INC (100%),"C,II","37,491","36,857","37,185","37,679","38,235","41,482","47,084","40,924","39,588","35,205","38,577","33,565","-5,012","-3,926","Other, Waste"
LYON COUNTY,1005280,2025 - 200TH Avenue,44.346,-95.903,LYND,LYON COUNTY,MN,56157,COUNTY OF LYON MINNESOTA (100%),"C,HH","13,507","22,311","19,880","14,427","37,432","20,601","37,111","68,166","70,538","36,339","38,971","11,345","-27,626","-2,162",Waste
Lakefield Junction Generating,1000203,2159 20TH AVE,43.7984,-94.8415,TRIMONT,Martin,MN,56176,GREAT RIVER ENERGY (100%),"C,D","69,108","100,677","83,656","24,130","57,433","128,306","51,729","103,042","45,936","30,044","92,132","51,884","-40,248","-17,224",Power Plants
Laskin Energy Center,1000686,5699 Colby Lake Road,47.5306,-92.1619,Hoyt Lakes,St. Louis,MN,55750,ALLETE INC (100%),"C,D","614,687","468,947","592,001","454,543","118,496","9,672","5,178","11,478","14,883","12,715","70,324","90,791","20,467","-523,896",Power Plants
Louisville Landfill,1005549,3698 130th Street W,44.762,-93.58559,Shakopee,SCOTT,MN,55379,MINNESOTA POLLUTION CONTROL AGENCY (100%);,,"11,249","9,036",---,---,---,---,---,---,---,---,---,---,---,---,Waste
MAYO MEDICAL CENTER - ROCHESTER,1006685,200 1st St. SW,44.022115,-92.46632,ROCHESTER,OLMSTED COUNTY,MN,55905,MAYO CLINIC (100%),C,"72,494","91,364","70,515","72,223","70,976","71,607","61,695","73,453","67,754","62,514","71,028","74,196","3,168","1,702",Other
MESABI NUGGET DELAWARE LLC,1005144,6500 Hwy 135 N,47.586907,-92.234192,Aurora,ST. LOUIS COUNTY,MN,55705,STEEL DYNAMICS INC (83%); KOBE STEEL USA HOLDINGS INC (17%),,"464,529","479,909","637,277","624,772","89,081",62,112,183,130,---,---,---,---,---,Metals
METROPOLITAN AIRPORTS COMMISSION,1005105,6040 28TH AVENUE SOUTH,44.893089,-93.232433,MINNEAPOLIS,HENNEPIN COUNTY,MN,55450,METROPOLITAN AIRPORTS COMMISSION (100%),C,"23,312","23,019","27,912","28,613","25,106","24,559","25,307","28,139","27,881","22,717","24,708","29,140","4,432","5,827",Other
MINNESOTA SOYBEAN PROCESSORS - BREWSTER,1006609,121 ZEH AVE,43.705647,-95.456507,BREWSTER,NOBLES COUNTY,MN,56119,MINNESOTA SOYBEAN PROCESSORS (100%),C,"48,518","43,300","49,468","49,786","50,891","47,601","53,581","60,166","58,716","63,125","52,862","52,885",23,"4,367",Other
MOM BRANDS CO - PLANT 2 - NORTHFIELD,1006273,701 W 5TH ST,44.45508,-93.16991,NORTHFIELD,RICE COUNTY,MN,55057,POST HOLDINGS INC (100%),C,"38,676","36,156","39,077","39,009","37,539","37,324","39,199","39,878","39,907","38,504","35,571","39,047","3,475",371,Other
MORRISON COUNTY LANDFILL,1004060,COUNTY ROAD 35,45.93146,-94.351997,LITTLE FALLS,MORRISON COUNTY,MN,56345,COUNTY OF MORRISON (100%),,"32,119","32,585","32,950","33,403","33,946","20,401","20,837","21,337","20,117","18,226",---,---,---,---,Waste
Mankato Energy Center,1000437,1 FAZIO LANE,44.1965,-94.0099,MANKATO,Blue Earth,MN,56001,SOUTHWEST GENERATION OPERATING CO LLC (100%),"C,D","147,977","208,781","251,613","156,722","197,463","363,370","302,455","220,704","843,734","1,129,033","1,173,841","730,361","-443,481","582,384",Power Plants
Marvin Windows and Doors,1012125,401 State Ave,48.904184,-95.320096,Warroad,ROSEAU COUNTY,MN,56763,,,---,---,---,"1,282",---,---,---,---,---,---,---,---,---,---,Other
"Melrose Dairy Proteins, LLC",1012554,1000 Kraft Drive SE,45.667393,-94.798139,Melrose,STEARNS COUNTY,MN,56352,LAND O LAKES INC (100%),C,---,---,---,---,---,---,35,"25,184",223,"23,482","23,546","23,945",399,---,Other
Minnesota Energy Resources Corporation,1007381,2665 145th Street West,44.73922,-93.11919,Rosemount,DAKOTA COUNTY,MN,55068,WEC Energy Group Inc (100%),"NN,W",---,---,---,---,---,---,---,---,---,"26,296","26,666","25,806",-860,---,Petroleum and Natural Gas Systems
Minnesota River Station,1001166,1040 DAHLEN LANE,44.795,-93.5808,CHASKA,Carver,MN,55318,MINNESOTA MUNICIPAL POWER AGENCY (100%);,,"1,377","3,802","1,170",---,---,---,---,---,---,---,---,---,---,---,Power Plants
NORTHSHORE MINING CO - SILVER BAY,1005276,10 OUTER DRIVE,47.286,-91.26,SILVER BAY,LAKE COUNTY,MN,55614,CLEVELAND-CLIFFS INC (100%),"C,Q","1,022,700","811,063","873,474","988,499","721,894","438,578","675,311","621,879","440,959","165,334","223,903","78,947","-144,956","-943,753",Metals
NRG ENERGY CENTER MINNEAPOLIS,1000591,816 4TH AVENUE SOUTH,44.973474,-93.267695,MINNEAPOLIS,HENNEPIN COUNTY,MN,55404,Cordia LLC (100%),C,"94,738","64,513",---,---,---,---,---,---,---,---,---,---,---,---,Power Plants
Northern Border Pipeline Garvin CS#12,1006368,1270 260th Avenue,44.235314,-95.775103,GARVIN,LYON COUNTY,MN,56132,ONEOK INC (50%); TRANSCANADA PIPELINE USA LTD (50%),"C,W","111,145","115,190","110,560","101,052","102,452","109,600","113,893","115,247","111,981","74,429","102,806","108,551","5,745","-2,594",Petroleum and Natural Gas Systems
Northern Border Pipeline Trimont CS#13,1004917,1890 60TH AVENUE,43.76051,-94.75427,TRIMONT,MARTIN COUNTY,MN,56176,ONEOK INC (50%); TRANSCANADA PIPELINE USA LTD (50%),"C,W","114,050","113,285","110,681","101,367","105,531","106,947","115,286","112,982","110,025","109,589","106,621","105,213","-1,407","-8,836",Petroleum and Natural Gas Systems
Northern Natural Gas - Albert Lea,1011253,73650 325th Street,43.82565,-93.39786,Hartland,FREEBORN COUNTY,MN,56042,BERKSHIRE HATHAWAY INC (100%),"C,W",---,---,"32,413","22,763","14,089","12,854","9,137","29,264","23,735","12,170","11,466","14,624","3,159",---,Petroleum and Natural Gas Systems
"Northern States Power Company, A Minnesota Corporation",1003203,414 Nicollet Mall,44.97927,-93.27022,Minneapolis,HENNEPIN COUNTY,MN,55401,XCEL ENERGY INC (100%),"NN,W","56,511","53,979","48,394","48,339","70,259","56,321","55,734","55,895","56,612","56,904","57,907","57,141",-766,630,Petroleum and Natural Gas Systems
Numake-2 LLC of MN,1003924,17936 HERON ROAD,46.022222,-94.338333,LITTLE FALLS,MORRISON COUNTY,MN,56345,NUMAKE-2 LLC (100%),,---,---,---,"39,510","38,926","15,212","14,014","10,640",---,461,"1,116",---,---,---,"Other, Chemicals"
OLMSTED COUNTY - KALMAR LANDFILL,1006033,7401 19TH STREET NORTHWEST,44.043444,-92.583806,ROCHESTER,OLMSTED COUNTY,MN,55901,COUNTY OF OLMSTED MINNESOTA (100%),HH,"23,437","22,563","20,446","14,793","14,243",---,---,---,---,---,"13,737","11,133","-2,604","-12,304",Waste
OLMSTED WASTE-TO-ENERGY FACILITY,1005528,301 SILVER CREEK RD NE,44.026536,-92.4291,ROCHESTER,OLMSTED COUNTY,MN,55906,COUNTY OF OLMSTED MINNESOTA (100%),C,"29,545","45,998","47,889","46,332","56,799","52,178","57,006","60,704","57,686","58,331","56,009","55,814",-195,"26,268",Waste
Order of Saint Benedict/Saint John\s University,1005927,31802 County Road 159,45.584424,-94.393925,Collegeville,STEARNS,MN,56321,ORDER OF SAINT BENEDICT/SAINT JOHN'S UNIVERSITY (100%),,"19,263","12,526","13,529","13,771","12,968",---,---,---,---,---,---,---,---,---,Other
PERHAM RESOURCE RECOVERY FACILITY,1006340,201 6TH AVENUE NE,46.59107,-95.56406,PERHAM,OTTER TAIL COUNTY,MN,56573,PRAIRIE LAKES MUNICIPAL SOLID WASTE AUTHORITY (100%),C,---,---,---,---,---,"28,193","26,452","26,503","28,374","30,049","31,177","30,147","-1,030",---,Waste
PINE BEND LANDFILL,1002059,2495 E117TH ST,44.818286,-93.087678,INVER GROVE HEIGHTS,DAKOTA COUNTY,MN,55077,REPUBLIC SERVICES INC (100%),"C,HH","106,592","113,005","95,764","111,035","92,385","80,958","82,919","93,350","105,785","57,283","63,579","69,818","6,240","-36,773",Waste
POET BIOREFINING GLENVILLE LLC,1000857,15300 780TH AVE,43.576274,-93.301773,ALBERT LEA,FREEBORN COUNTY,MN,56007,POET LLC (100%),"C,PP",---,"65,698","66,192","66,286","60,336","66,539","66,725","64,896","65,280","64,260","66,885","62,817","-4,068",---,Other
"POET Biorefining - Preston, LLC",1004230,701 INDUSTRIAL DRIVE NORTH,43.6861,-92.0917,PRESTON,FILLMORE COUNTY,MN,55965,POET LLC (100%),"C,PP",---,"65,340","67,152",72,"71,665","68,390","68,316","72,775","73,379","75,761","76,523","75,749",-774,---,Other
PONDEROSA LANDFILL/BLUE EARTH COUNTY,1005032,20028 Gooseberry Lane,44.122932,-94.08655,MANKATO,BLUE EARTH COUNTY,MN,56001,BLUE EARTH COUNTY ENVIRONMENTAL SERVICES (100%),"C,HH","19,740","23,028","20,334","18,823","19,639",---,---,---,"26,659","26,547","16,602","19,756","3,154",16,Waste
POPE/DOUGLAS SOLID WASTE MANAGEMENT,1004475,2115 SOUTH JEFFERSON STREET,45.868611,-95.372163,ALEXANDRIA,DOUGLAS COUNTY,MN,56308,POPE/DOUGLAS JOINT SOLID WASTE MANAGEMENT BOARD (100%),C,---,"26,414","26,130","27,041","29,506","29,203","28,360","28,342","28,598","29,642","30,920","30,032",-889,---,Waste
PRO CORN L L C,1004230,701 INDUSTRIAL DRIVE NORTH,43.6861,-92.0917,PRESTON,FILLMORE COUNTY,MN,55965,POET LLC (100%),"C,PP","67,837",---,---,---,---,---,---,---,---,---,---,---,---,---,Other
Pleasant Valley Station,1001165,68435 310TH ST,43.7997,-92.6819,DEXTER,Mower,MN,55926,GREAT RIVER ENERGY (100%),"C,D","47,765","107,494","108,865","47,104","40,665","77,695","30,803","62,801","26,906","19,963","85,749","79,043","-6,706","31,278",Power Plants
Poet Bioprocessing-Bingham Lake,1007830,40212 510TH AVENUE,43.897083,-95.045278,BINGHAM LAKE,COTTONWOOD COUNTY,MN,56118,POET LLC (100%),"C,PP",---,---,---,---,"50,048","50,878","53,233","57,018","52,653","52,695","52,042","52,544",502,---,Other
"Poet Biorefining Lake Crystal, LLC",1005020,19200-499TH AVE,44.100799,-94.275835,LAKE CRYSTAL,BLUE EARTH COUNTY,MN,56055,POET LLC (100%),C,"111,172","80,966","81,130","83,045","84,048","84,035","86,299","82,436","93,083","82,871","89,323","82,809","-6,514","-28,364",Other
Poet Biorefining-Bingham Lake,1007830,40212 510TH AVENUE,43.897083,-95.045278,BINGHAM LAKE,COTTONWOOD COUNTY,MN,56118,POET LLC (100%),"C,PP",---,"57,758","54,257","49,850",---,---,---,---,---,---,---,---,---,---,Other
Polar Semiconductor LLC,1009807,2800 E Old Shakopee Rd,44.85312,-93.2301,Bloomington,HENNEPIN COUNTY,MN,55425,POLAR SEMICONDUCTOR LLC (100%),"C,I","87,539","96,446","94,889","93,846","86,092","61,002","66,672","66,201","42,928","47,543","52,891","54,809","1,918","-32,730",Other
RAHR MALTING CO - SHAKOPEE,1005546,800 WEST 1ST AVENUE,44.79717,-93.53844,SHAKOPEE,SCOTT COUNTY,MN,55379,,,"4,573",---,---,---,---,---,---,---,---,---,---,---,---,---,Other
RICE COUNTY LANDFILL,1005335,3800 145TH ST E,44.37766,-93.22627,DUNDAS,RICE COUNTY,MN,55019,RICE COUNTY MINNESOTA (100%),"C,HH","49,183","50,612","43,585","44,594","45,708","46,487","47,551","49,169","50,379","52,113","52,643","53,929","1,287","4,747",Waste
ROLLING HILLS LANDFILL,1001843,175 COUNTY ROAD 37 NE,45.2494,-93.87594,BUFFALO,WRIGHT COUNTY,MN,55313,GFL ENVIRONMENTAL USA INC (100%),,---,---,---,---,"5,997","5,956","5,553","5,509","4,995","4,125",---,---,---,---,Waste
ROLLING HILLS LANDFILL INC,1001843,175 COUNTY ROAD 37 NE,45.2494,-93.87594,BUFFALO,WRIGHT COUNTY,MN,55313,GFL ENVIRONMENTAL USA INC (100%),,---,---,---,"6,502",---,---,---,---,---,---,---,---,---,---,Waste
Rapids Energy Center,1002966,502 NW 3rd St.,47.263975,-93.62817,Grand Rapids,ITASCA COUNTY,MN,55744,ALLETE INC (100%),C,"105,457","122,017","115,970","119,247","100,114","89,941","98,372","96,083","91,117","80,373","95,064","95,799",735,"-9,658",Power Plants
Red Wing Plant,1006774,101 5th Street East,44.078055,-92.509891,Red Wing,OLMSTED COUNTY,MN,55901,XCEL ENERGY INC (100%),C,"75,827","84,342","87,550","100,062","94,265","95,540","87,041","117,736","99,557","104,056","94,552","113,667","19,114","37,839",Power Plants
Riverside (1927),1000693,3100 MARSHALL ST NE,45.0203,-93.2753,MINNEAPOLIS,Hennepin,MN,55401,XCEL ENERGY INC (100%),"C,D","240,489","730,975","527,065","398,413","991,673","915,787","605,802","999,751","1,176,201","846,183","533,605","577,103","43,498","336,615",Power Plants
Rosemount Industrial Waste Facility,1011501,13425 Courthouse Blvd,44.749802,-93.01176,Rosemount,DAKOTA COUNTY,MN,55414,WASTE CONNECTIONS US INC (100%),"C,TT",---,---,---,"353,153","415,722","260,310","267,897","275,788","318,319","381,206","442,630","224,603","-218,026",---,"Other, Waste"
SAINT MARYS HOSPITAL,1006686,1216 2ND STREET SOUTHWEST,44.02164,-92.48209,ROCHESTER,OLMSTED COUNTY,MN,55902,MAYO CLINIC (100%),C,"51,092","50,209","49,095","50,259","46,831","46,989","48,990","48,315","47,759","45,909","48,154","53,230","5,076","2,138",Other
SAPPI CLOQUET LLC,1001995,2201 AVENUE B,46.7239,-92.4316,CLOQUET,CARLTON COUNTY,MN,55720,SAPPI NORTH AMERICA INC (100%),"AA,C,TT","142,044","148,762","173,651","150,596","146,438","150,855","135,274","127,200","145,548","146,801","143,082","182,006","38,923","39,961","Pulp and Paper, Waste"
SKB Lansing Landfill,1012436,52563 243rd Streed,43.706812,-92.999888,Austin,MOWER COUNTY,MN,55912,WASTE CONNECTIONS US INC (100%),"C,TT",---,---,---,---,---,"30,591","38,482","46,746","54,166","49,913","53,800","53,865",65,---,"Other, Waste"
SKYWATER TECHNOLOGY FOUNDRY INC,1000354,2401 E. 86TH ST.,44.84786,-93.23745,BLOOMINGTON,HENNEPIN COUNTY,MN,55425,OXBOW INDUSTRIES LLC (100%),"C,I","131,033","129,262","117,799",---,---,---,---,---,---,---,---,---,---,---,Other
SKYWATER TECHNOLOGY INC,1000354,2401 E. 86TH ST.,44.84786,-93.23745,BLOOMINGTON,HENNEPIN COUNTY,MN,55425,OXBOW INDUSTRIES LLC (100%),"C,I",---,---,---,"128,375","114,538","98,935","98,141","102,335","91,896","75,167","92,670","91,812",-858,---,Other
SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE,1007098,83550 COUNTY ROAD 21,44.797076,-95.170752,RENVILLE,RENVILLE COUNTY,MN,56284,SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE (100%),"C,S","395,533","334,724","395,232","367,954","350,066","405,394","451,365","537,433","480,507","430,224","564,755","515,209","-49,546","119,676",Minerals
SPRUCE RIDGE RESOURCE MGMT FACILITY,1007742,12755 137TH STREET,44.815907,-94.248837,GLENCOE,MCLEOD COUNTY,MN,55336,WASTE MANAGEMENT INC (100%),"C,HH","49,861","48,721","46,158","47,583","49,787","45,037","42,124","36,468","23,084","18,963","20,151","44,781","24,630","-5,080",Waste
ST JAMES DIESEL GENERATING PLANT,1005083,1115 WESTON ST,43.98668,-94.619166,SAINT JAMES,WATONWAN,MN,56081,CITY OF ST JAMES (100%),,8,52,66,36,34,---,---,---,---,---,---,---,---,---,Power Plants
ST PAUL COGENERATION,1001120,125 SHEPARD ROAD W,44.94302,-93.093857,ST. PAUL,RAMSEY COUNTY,MN,55102,DTE ST PAUL LLC (50%); EVER-GREEN ENERGY INC (50%),C,"20,315","35,083","30,364","34,480","22,926","23,998","27,907","35,057","36,866","38,242","32,778","27,592","-5,186","7,277",Power Plants
SWIFT PORK CO - WORTHINGTON,1005624,1700 HIGHWAY 60 NE,43.635005,-95.566372,WORTHINGTON,NOBLES COUNTY,MN,56187,JBA USA HOLDINGS LLC (100%),C,"36,530","39,817","35,600","33,658","38,237","35,828","32,962","35,254","26,327","35,985","39,015","37,258","-1,757",728,Other
Shamrock Landfill Inc.,1012042,761 Highway 45,46.6944270551746,-92.4286839463005,Cloquet,,MN,55720,WASTE CONNECTIONS US INC (100%),"C,TT",---,---,---,---,"25,893","29,018","30,634","36,636","38,778","34,863","36,715","39,100","2,385",---,"Other, Waste"
Sherburne County,1001024,13999 INDUSTRIAL BLVD,45.3792,-93.8958,BECKER,Sherburne,MN,55308,XCEL ENERGY INC (84.41%); SOUTHERN MINNESOTA MUNICIPAL POWER AGENCY (15.59%),"C,D","13,188,289","8,461,493","9,023,684","13,510,805","12,359,176","12,194,376","12,598,829","12,951,497","11,210,899","9,255,474","9,776,192","10,469,290","693,098","-2,718,999",Power Plants
Silver Lake,1000695,425 W SILVER LAKE DRIVE NE,44.0281,-92.4597,ROCHESTER,Olmsted,MN,55903,ROCHESTER PUBLIC UTILITIES (100%),C,"154,355","57,939","122,434","33,580","34,663","34,029","33,660","26,489","28,425","38,480","35,587","34,236","-1,351","-120,119",Power Plants
Solway Plant,1000118,7707 CENTERLINE ROAD NW,47.5444,-95.1297,SOLWAY,Beltrami,MN,56678,OTTER TAIL CORP (100%),"C,D","19,310","33,271","25,220","24,569","9,948","21,745","20,225","38,217","29,310","28,249","61,350","48,087","-13,263","28,777",Power Plants
"St. Paul Park Refining Company, LLC",1002027,301 St. Paul Park Road,44.850583,-93.002139,St. Paul Park,WASHINGTON COUNTY,MN,55071,MARATHON PETROLEUM CORP (100%),"C,MM,P,Y","811,087","771,374","687,485","844,113","848,233","845,559","868,890","842,904","873,145","869,841","872,088","800,372","-71,716","-10,716","Chemicals, Refineries"
Steele County Landfill,1011916,9420 SE 64th Ave,43.95541,-93.10591,Blooming Prairie,STEELE COUNTY,MN,55917,COUNTY OF STEELE MINNESOTA (100%),"C,HH",---,---,"39,284","40,766","42,301","44,132","46,143","47,493","54,183","50,949","52,296","44,545","-7,752",---,Waste
Taconite Harbor Energy Center,1000149,8124 West Highway 61,47.5314,-90.9111,SCHROEDER,Cook,MN,55613,ALLETE INC (100%),"C,D","1,332,226","1,060,437","1,235,767","1,261,910","1,249,547","638,423",12,11,13,6,11,11,0,"-1,332,215",Power Plants
UNITED TACONITE LLC - FAIRLANE PLANT,1005294,8470 Townline Road,47.3502,-92.5735,FORBES,ST. LOUIS COUNTY,MN,55738,CLEVELAND-CLIFFS INC (100%),"C,Q","315,367","297,660","295,097","270,053","190,375","94,150","359,251","453,067","441,292","497,536","435,822","425,473","-10,349","110,106",Metals
UNIVERSITY OF MN - TWIN CITIES,1003819,100 CHURCH ST SE STE 202,44.97588,-93.23386,MINNEAPOLIS,HENNEPIN COUNTY,MN,55455,STATE OF MINNESOTA (100%),C,"159,922","131,897","174,827","164,468","149,462","140,440","135,623","214,682","165,226","204,687","219,649","189,569","-30,080","29,647",Other
US STEEL - Minntac,1001621,8819 OLD HIGHWAY 169,47.565,-92.6328,MOUNTAIN IRON,ST. LOUIS COUNTY,MN,55768,US STEEL CORP (100%),"C,Q","1,353,203","1,380,327","1,437,051","1,472,981","1,071,297","1,181,954","1,396,437","1,361,623","1,227,349","1,210,974","1,303,381","1,253,779","-49,602","-99,424",Metals
US Steel - Keetac,1001618,1 MINE ROAD,47.413883,-93.062672,KEEWATIN,ST. LOUIS COUNTY,MN,55753,US STEEL CORP (100%),"C,Q","245,046","266,747","283,291","232,998","86,043","11,869","188,934","246,915","237,342","91,348","214,214","224,653","10,439","-20,393",Metals
"USG INTERIORS, LLC - RED WING PLANT",1002000,27384 HWY. 61 BLVD.,44.55706,-92.48415,RED WING,GOODHUE COUNTY,MN,55066,USG CORP (100%),C,"55,377","47,196","35,259","32,629","33,684","29,983","34,916","45,493","38,041","29,648","31,563","32,565","1,002","-22,812",Minerals
"USG Interiors, Inc.",1001901,35 Arch St.,46.7244,-92.4664,Cloquet,CARLTON COUNTY,MN,55720,USG CORP (100%),C,"72,475","74,542","74,236","72,979","69,085","68,314","73,062","72,621","72,018","64,394","62,418","63,663","1,244","-8,813",Minerals
VALERO WELCOME PLANT,1006946,1444 120TH ST,43.663889,-94.582222,WELCOME,MARTIN COUNTY,MN,56181,VALERO ENERGY CORP (100%),C,"187,403","173,964","175,519","158,911","178,553","177,204","184,295","180,730","175,901","177,737","180,071","171,492","-8,579","-15,911",Other
VERSO PAPER CORP. - SARTELL MILL,1003164,100 EAST SARTELL STREET,45.6547463,-94.2376146,SARTELL,STEARNS,MN,56377,VERSO PAPER CORP (100%);,,"213,235","81,047",---,---,---,---,---,---,---,---,---,---,---,---,"Pulp and Paper, Waste"
VGT CS 2204,1004012,County Road 20,48.0810985,-96.7118727,Angus,,MN,56712,ONEOK INC (100%),,---,---,---,---,---,---,"28,078","9,662","12,657","6,348",---,---,---,---,Petroleum and Natural Gas Systems
VGT CS 2207,1003671,1611 COUNTY HWY 142,47.2396,-96.524,ADA,NORMAN COUNTY,MN,56510,ONEOK INC (100%),"C,W",---,---,---,---,---,---,"26,386","15,331","12,755","7,435","15,576","18,305","2,730",---,Petroleum and Natural Gas Systems
VIRGINIA PUBLIC UTILITIES,1003228,618 SECOND STREET SOUTH,47.52103,-92.54146,VIRGINIA,ST. LOUIS COUNTY,MN,55792,CITY OF VIRGINIA MINNESOTA (100%),"C,NN","157,707","118,492","145,719","133,460","129,901","136,382","140,079","126,489","80,930","59,905","41,747","34,524","-7,223","-123,183",Power Plants
Vonco 5,1010668,1100 West Gary Street,46.670075,-92.238976,Duluth,SAINT LOUIS,MN,55808,"Vonco 5, LLC  (100%);",,---,"5,599","8,943","10,909",---,---,---,---,---,---,---,---,---,---,Waste
Vonco II Landfill,1004449,15301 140th Avenue,45.352493,-93.870775,Becker,SHERBURNE COUNTY,MN,55308,VONCO II LLC (100%),TT,"18,573","23,478","28,469","95,617","123,912","148,709","156,166","163,067","169,461","176,513","204,901","216,506","11,605","197,933",Waste
WAUSAU PAPER MILLS LLC,1003856,1801 MILL AVENUE NORTH EAST,46.377673,-94.180809,BRAINERD,CROW WING,MN,56401,WAUSAU PAPER CORP (100%);,,"112,215","68,565","21,259",---,---,---,---,---,---,---,---,---,---,---,Pulp and Paper
WILLMAR MUNICIPAL UTILITIES,1004590,710 BENSON AVE SW,45.121461,-95.0526,WILLMAR,KANDIYOHI COUNTY,MN,56201,CITY OF WILLMAR MINNESOTA (100%),,---,"62,764","47,984","57,832","46,208","59,024","54,017","10,426",1,0,---,---,---,---,Power Plants
WLSSD Landfill,1005666,4857 Ridgeview Road,46.854,-92.16,Duluth,ST. LOUIS COUNTY,MN,55803,STATE OF MINNESOTA (100%),,"35,400","19,779","20,002","21,276","24,168","18,705",---,---,---,---,---,---,---,---,Waste
"West Fraser, Inc. (Bemidji)",1014663,4409 Northwood Rd NW,47.5110188741875,-95.0818802370334,Solway,,MN,56678,WEST FRASER INC (100%),C,---,---,---,---,---,---,---,"26,115","26,987","24,827","25,264","27,350","2,086",---,Other
WestRock MN Corporation,1006988,2250 WABASH AVENUE,44.95966,-93.19341,SAINT PAUL,RAMSEY COUNTY,MN,55114,WESTROCK CO (100%),C,"130,817","127,779","131,372","128,837","124,739","126,558","126,850","130,678","128,183","132,237","126,775","114,739","-12,037","-16,079",Pulp and Paper
Woodlake Sanitary Landfill,1005545,4000 Hamel Road,45.04796,-93.61874,Medina,HENNEPIN COUNTY,MN,55340,MINNESOTA POLLUTION CONTROL AGENCY (100%);,,"3,355","3,072",---,---,---,---,---,---,---,---,---,---,---,---,Waste
Wrenshall LNG Storage,1001640,2301 County Road 1,46.6054,-92.38528,Wrenshall,CARLTON COUNTY,MN,55797,BERKSHIRE HATHAWAY INC (100%),"C,W","21,455","7,995","22,275","23,376","15,265","13,833",---,"25,800","18,046","11,056","8,901","12,101","3,201","-9,354",Petroleum and Natural Gas Systems
